title,body_text,image_url
西鉄やふくおかFG、地域振興の新会社物販施設を運営,西日本鉄道やふくおかフィナンシャルグループ（FG）など5社は25日、地域振興を担う新会社「Good Local 九州」（福岡市）を4月1日に設立すると発表した。地域交流・人口創出につながる企画や、物販などの拠点運営を手がける。NTT西日本や三菱地所、西鉄系でラジオ局を手がけるラブエフエム国際放送（福岡市）も出資する。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO6173176025032025000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.63&fp-y=0.46&fp-z=1&crop=focalpoint&s=1b11119256fa1620d126c66d6540269f
セーフィー、監視カメラ映像の保存機器通信負荷を抑制,セーフィーは25日、最大32台の監視カメラの映像を保存できるストレージ機器を発売したと発表した。同社はカメラ映像をリアルタイムでクラウド上で管理するシステムも展開するが、通信回線への負担がかかる問題があった。機器を組み込むことで通信回線への負荷を下げる。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO6173650025032025000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.5&fp-z=1&crop=focalpoint&s=5786a84f5f0ab94075b65a9f6071d127
電子マニュアル、チャット指示でAIが改善スタディスト,企業向け電子マニュアル作成システムを手がけるスタディスト（東京・千代田）は、自社で提供するシステムにおいてチャットで入力した指示を基に人工知能（AI）がマニュアルを改善する新機能を6月に追加する。小売り・外食や製造現場など、マニュアル作成を効率化したい企業の需要をつかむ。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO6168615023032025000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.5&fp-z=1&crop=focalpoint&s=a3ef6372260cf5d42079fcd308ea198f
「第2のDeepSeek」で沸くAIエージェント,2025年の人工知能（AI）ビジネスの主戦場とされる「AIエージェント」の先端製品を中国企業が3月に発表した。DeepSeek（ディープシーク）に続く中国AIの台頭が話題を呼んでいる。AIエージェントは企業の省力化のカギを握るサービスで、万能型の「汎用人工知能（AGI）」実現への通過点。グローバルな開発競争が激化している。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO6165482023032025000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.57&fp-y=0.56&fp-z=1&crop=focalpoint&s=44e5b9a11ac42c3084998767244421ac
ウェザーニューズ、気象データで需要予測販促を後押し,ウェザーニューズは24日、小売店や飲食店向けに、需要予測に使える気象データの提供を始めたと発表した。天気予報、花粉飛散量の予報、熱中症情報など大きく7種類をパッケージにする。商品の販売促進や配送計画の調整を後押しする。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO6167318023032025000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.5&fp-z=1&crop=focalpoint&s=0515cea81e1bb177a01279804daa91c7
GMO､熊谷社長の賛成比率が58%に買収防衛策に反対か,GMOインターネットグループが21日に開いた定時株主総会で決議した取締役選任議案で、熊谷正寿会長兼社長への賛成比率が58.56%にとどまったことが24日分かった。同社が関東財務局に提出した臨時報告書で明らかになった。2024年の株主総会では61.9%だった。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO6169577023032025000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.5&fp-z=1&crop=focalpoint&s=7bb39992ece679d0e7c334500d367207
ポンタ、15周年の特設サイトキャラ活用で経済圏拡大,ロイヤリティマーケティング（東京・渋谷）は24日、運営する共通ポイント「Ponta（ポンタ）」が15周年を迎えたのに合わせ、特設サイトを開いたと発表した。タヌキを模したキャラクターの過去の記念イラストをまとめて掲載するほか、15周年を記念したキャンペーンやイベントを紹介する。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO6168326023032025000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.4&fp-y=0.17&fp-z=1&crop=focalpoint&s=0b62ad04513cad3994865dfd3a148641
EC支援のAnyMind、東南アでAI活用拡大売上高2倍狙う,【バンコク=赤間建哉】電子商取引（EC）支援のAnyMind（エニーマインド）グループが東南アジアで事業を拡大する。現地で人気が広がるライブ配信を通じたECに狙いを定め、生成AI（人工知能）を活用して配信を効率化できるサービスに注力する。法人需要の開拓を進め、今後3年間で全社売上高を2倍の1000億円超に増やす。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO6141421017032025000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.53&fp-y=0.33&fp-z=1&crop=focalpoint&s=8e863ef13cd3b0ddb59ff7d418fe3252
サーバー向けコンデンサー、29年に需要4倍JEITA調べ,電子情報技術産業協会（JEITA）は24日までに、サーバー向けコンデンサーの需要が2029年に23年の4倍になるとの予測を発表した。人工知能（AI）の普及でデータセンターの数が増え、電力を制御するコンデンサーの引き合いが強まる。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO6166005023032025000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.5&fp-z=1&crop=focalpoint&s=7c843a9dd58b2db9989f31027b10e11c
INCJ志賀会長「壮大な社会実験、失敗も国民の財産に」,官民ファンドのINCJが3月末に事業を停止する。2009年に時限組織として発足し、計144件、総額1兆3600億円の投資活動を担ってきた。INCJは日本の産業界に何を残したのか。キーパーソンに聞く。初回はINCJ会長兼最高経営責任者（CEO）の志賀俊之氏。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO6146546018032025000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.41&fp-y=0.27&fp-z=1&crop=focalpoint&s=f387c9e8fbe87af65e4c81b533d30889
